list_item_id,job_id,list_item,parent,code / label 1,code / label 2,code / label 3,code / label 4
2223,98,"Excellent communications skills, both written and spoken","In addition to the qualifications listed below, the ideal candidate will also have:",written,oral,,
2278,102,Excellent verbal and written communication skills,What youâ€™ll need (required):,oral,written,,
2279,102,2 yrs minimum experience in the work world writing Python scripts for data engineering and automation,Top Skills Details:,,,,
2280,102,Experience writing Python for Visualizations,Top Skills Details:,,,,
2305,108,"Experience working on an Agile development team, writing and working off of user stories",,interactional,rhetorical,,
2317,108,Demonstrated experience writing code in an object oriented language.,,,,,
2327,109,Excellent verbal and written communication skills,,oral,written,,
2353,111,Excellent written and oral communication skills including presentation experience to large and diverse audiences.,Other:,written,oral,multimodal,rhetorical
2365,112,"Must be self-motivated, with strong interpersonal and communication skills both verbal and written",,interactional,oral,written,
2387,113,"Good communication skills (written, verbal, & presentation)",,written,oral,multimodal,
2395,114,"Write, enter and document PLC programs",Conveyor Controls experience is required,documentation,,,
2396,114,"Write, enter and document HMI programs",Conveyor Controls experience is required,documentation,,,
2425,115,Must have excellent verbal and written communication skills.,Education/Qualifications:,oral,written,,
2441,116,Writing - Uses language that is business appropriate in written documents,Job Skills and Attributes:,behavioral,written,,
2480,117,"Ability to read, interpret documents and carry out instructions furnished in written, oral or other schematic format.",1-2+ yearsâ€™ experience.,complicated!,,,
2487,117,"Excellent verbal, written and interpersonal communication skills.",Ability to work effectively on an independent basis or as part of a team.,oral,written,interactional,
2488,117,Ability to write accurate reports and correspondence on a routine basis.,"Excellent verbal, written and interpersonal communication skills.",written,,,
2518,118,"Ability to understand control philosophy and write functional requirement specifications based on expected functionality including description of control loops, interlocks and alarms.",Technical Responsibilities:,documentation,,,
2551,121,Write and modify PLC programs according to company standards,ESSENTIAL DUTIES AND RESPONSIBILITIES,,,,
2596,122,English speaking and writing skills at least to High School 12th grade level,Bachelorâ€™s Degree in Computer or Electronics related Engineering.,oral,written,,
2604,124,"PLC programming (preferably Allen Bradley); do not need to be an advanced programmer, but someone who can troubleshoot existing logic and write basic programs.",REQUIREMENTS:,,,,
2647,126,Writing new test cases in Bare Metal environment using Assembler and C.,,,,,
2650,126,Understanding of Linux command lines and writing scripts for automation.,,,,,
2653,126,Good verbal and written communication skills.,,oral,written,,
2726,131,"Write, enter and document PLC programs","For more information about what an engineer does at Kasa, visit www.wecontroltheworld.comEssential Duties and Responsibilities:",documentation,,,
2727,131,"Write, enter and document HMI programs","For more information about what an engineer does at Kasa, visit www.wecontroltheworld.comEssential Duties and Responsibilities:",documentation,,,
2798,133,Excellent communication skills (verbal and written),Soft Skills:,oral,written,,
2814,134,Write and conduct automated unit tests using TDD (Test Driven Development),ESSSENTIAL/PRIMARY DUTIES:,,,,
2894,137,Excellent communication (verbal & written) and interpersonal skills,Bachelor's degree or equivalent experience,oral,written,interactional,
2907,138,"Write code with one or more programming languages (e.g., Java,",existing needs and predict future challenges,,,,
2952,140,Excellent in verbal and written communication and presentation,,oral,written,,
2965,143,Good oral and written communication skills required,Requirements/Qualifications:,oral,written,,
3028,147,Write and run unit tests.,"Following is a summary of the essential functions for this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time.",,,,
3077,149,Writes scope of work for electrical design based on preliminary review and meetings with the client.,responsibilities:,written,,,
3097,150,Use software to select and price heat pipe systems & write proposals to customers.,Essential Functions Statement(s),written,,,
3178,155,"Write, enter and document PLC programs",Conveyor Controls experience is required,documentation,,,
3179,155,"Write, enter and document HMI programs",Conveyor Controls experience is required,documentation,,,
3214,158,"Proven technical leadership skills: Self initiative, leadership, action-oriented by influencing, written and verbal communication skills with the ability to work independently.",,interactional,written,oral,
3264,161,"Experience using the framework to write automated scripts using automation tools (Selenium, QTP, NightwatchJS, Codeception, Cypress, mabl etc.) is required. Willingness to learn new tools and frameworks is required",,,,,
3277,161,"You have good reading, written and verbal language skills (English)",,written,oral,,
3297,162,"Strong verbal and written communication skills, proficient in MS Office Ã’ or equivalent and must be able to work in a team-oriented environment.",Your Qualifications,oral,written,interactional,
3299,163,"Provide technical support (pre / post sales) per email, phone and/or in person",Your tasks:,written,multimodal,,
3449,172,Must possess excellent English verbal and written communication skills.,,oral,written,,
3469,174,"Strong verbal, written, and interpersonal communication skills",Desired Qualifications,oral,written,interactional,
3535,176,"Excellent communication, interpersonal, analytical, and written skills",This is an college entry level position.,interactional,written,,
3583,178,"Write verification specifications, verification plans, and documentation",,documentation,,,
3669,187,"Writes and maintains documentation to describe program development, logic, coding, unit testing, changes, and corrections.",WHAT YOUâ€™LL DO:,documentation,,,
3674,187,"Excellent communication skills, written and verbal, with attention to detail and accuracy",WHAT YOU NEED:,written,oral,style,
3746,190,"Takes responsibility for writing documentation, processes, and procedures in a clear, concise manner, adhering to standards.",,documentation,style,,
3758,191,Excellent written communication skills,Qualifications:,written,,,
3773,192,"Strong interpersonal communications skills (verbal, presentation, and written).","Detection, Markov Chain and Monte Carlo (MCMC) Methods, Machine Learning, Predictive Modeling, Statistical Analysis and Hypothesis Testing)",,,,
3785,193,"Interpret functional requirements and design documents to plan, develop, write, and execute application functional and data validation automation test plans and test scripts.",,,,,
3853,195,Communication proficiency (oral and written),,,,,
3866,196,Attends weekly team meetings and complies with all written JCC policies and procedures.,ESSENTIAL FUNCTIONS:,,,,
3877,196,"Interprets a variety of instructions furnished in written, oral or schedule form.",ESSENTIAL KNOWLEDGE AND SKILLS:,,,,
3968,200,"Excellent customer service, written and verbal communications skills.",Additional Skills:,,,,
4019,201,"Excellent written and oral communication, organizational skills, with attention to detail and interpersonal skills",,,,,
4029,201,Familiarity with writing test plans from predefined requirements and contributing to requirement definition to ensure testable requirements.,,,,,
4113,208,Excellent verbal and written communication skills are necessary,Essential skills and experience:,,,,
4127,210,Writing IAM policies,Required Skills:,,,,
4137,210,Strong oral and written communication skills,Required Skills:,,,,
4276,216,"Strong interpersonal, written, and verbal communication skills","Passion for safety, with the ability to help us ensure that nobody gets hurt",,,,
4307,218,Strong organization and communication (verbal and written) skills.,The following skills/abilities are desired:,,,,
4350,221,The candidate must have a strong command of the English language with good written and oral communication skills in order to work effectively with internal team members and external client personnel.,,,,,
4376,222,Able to clearly explain REST protocol.,What we are looking for,,,,
4381,222,Excellent communication and customer facing skills both verbal and written.,What we are looking for,,,,
4409,223,"Ability to write reports, business correspondence, and procedure manuals",Essential Skills:,,,,
4412,223,"Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form",Essential Skills:,,,,
4421,224,Excellent written and verbal communication skills,Qualifications:,,,,
4441,225,"Fluency in English with ability to speak, read, and write.",Skills and Abilities,,,,
4458,226,Strong verbal and written communication skills.,Qualifications:,,,,
4577,234,Possesses effective oral and written communication skills.,"Knowledge, Skills and Abilities",,,,
4609,235,Strong written communication and verbal skills,"6 months experience in consumer electronics or similar field requiredCoursework in Computer Science or related Technical FieldExperience with any of the following: Windows, OSX, LinuxExperience with iOS and/or AndroidBasic understanding of home networking such as; TCP/IP, DHCP, DNS, Home routersWorking knowledge of home theater including HDMI, Surround Sound, TVs, AVR, Etc.Familiarity with any of the following: Home Alarm Systems, IP Cameras (including ONVIF), DVR/NVR, Lighting/Home Wiring is a plusExcellent logical, analytical, and troubleshooting skills",,,,
4629,237,Strong verbal and written English communication skills,Behavioral traits that we are looking for:,,,,
4634,238,Receive escalated technical support calls via telephone and email,,,,,
4648,238,Excellent oral and written communication skills â€“ phone skills are integral to this position,,,,,
4668,239,"Some experience writing code in one or more programming or analysis languages (e.g., Python, Java, R, Matlab) from academic projects, internships, or work experience",Requirements,,,,
4695,242,"Team player with a proactive attitude, the ability to be productive in a dynamic / collaborative environment (e.g.., open seating arrangement) and strong oral and written communication skills",,,,,
4712,243,"written and verbal communication skills, multitasking, self-motivated, and problem solving.","In addition to the qualifications listed below, the ideal candidate will also have the following skills:",,,,
4737,246,Strong and proven written and verbal communication skills.,What We Look For in a Candidate,,,,
4740,246,Strong written and verbal communication skills.,What We Look For in a Candidate,,,,
4758,247,Strong and proven written and verbal communication skills.,What We Look For in a Candidate,,,,
4761,247,Strong written and verbal communication skills.,What We Look For in a Candidate,,,,
4776,248,"Must be self-motivated, with strong interpersonal and communication skills both verbal and written",Skills and Experience Required:,,,,
4801,250,Excellent written and verbal communication skills.,,,,,
4818,251,"Supports the successful transition of completed products to manufacturing by providing pertinent ECNs (Engineering Change Notices), contributes to writing test procedures, and designing test fixtures. (entry level)",Key Responsibilities:,,,,
4827,251,"Strong written and verbal communication skills needed to write technical / functional specifications, test plans and other documentation.",Skills & Experience Required/Preferred:,,,,
4867,255,Communication skills both written and verbal are required.,Qualifications:,,,,
4924,257,Strong oral and written communication skills (English),This is an entry level position and we will consider candidates with:,,,,
4948,258,"Fluent in English, both verbal and written",REQUIREMENTS,,,,
4982,260,Good verbal and writing skills.,Basic Qualifications:,,,,
5016,263,"Knowledge of AutoCAD 2D software is required, AutoCAD 3D software or similar is a plusKnowledge of industrial control systemsExperience with PLC programming (ControlLogix, Mitsubishi, Omron, GE, Siemensâ€¦)Experience with HMI screen design such as GE, Panelview, PROFACEâ€¦Knowledge of electrical wiring troubleshootingKnowledge of electrical standards (National Electric Code, ANSI, OSHA) is a plusFamiliar with electrical codes including NEC, NFPA 79, and UL 508A is a plusDemonstrated PC skills (Outlook, Word, Excel, PowerPoint)Works precisely and pays close attention to detailsAbility to prioritize and manage multiple tasks simultaneouslyStrong written and verbal communication skillsMust be self-managed and committed to working in a fast-paced environmentA certain degree of creativity and latitude is required.Relies on limited experience and judgment to plan and accomplish goalsGood mechanical aptitude and knowledgeExperience with material handling equipment preferredMust be available to work weekends, nights, overtime, and holidays, as neededAbility to travel to Project Sites as required (including international travel to Canada and Mexico) Education and ExperienceBS in Electrical Engineering preferred0-3 years experience in Electrical Engineering & Designing  Daifuku offers an excellent compensation package including great benefits such as excellent medical, vision, and dental insurance, paid vacation time, paid sick time, and paid holidays, 401K, Flexible Spending Programs, and more. Daifuku is an Affirmative Action/Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to their race, color, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, protected veteran status, marital status or medical condition. To view a copy of the companyâ€™s affirmative action plan or policy statement, please email dac-hr@daifukuamerica.com If you have a disability and you believe you need a reasonable accommodation in order to search for a job opening or to submit an online application, please e-mail dac-hr@daifukuamerica.com",,,,,
5027,263,Strong written and verbal communication skills,,,,,
5053,264,The ability to develop architectural approaches to meet written requirements.,Weâ€™re excited to talk to you if your qualifications meet the following criteria:,,,,
5066,265,"Good verbal and written communication skills, demonstrated problem solving skills and strong interpersonal skills, and be able to work as part of a dynamic team.",Preferred Qualifications:,,,,
5088,268,Writing - Uses language that is business appropriate in written documents,Job Skills and Attributes:,,,,
5167,271,"Translates technical specifications, and/or logical and physical design into code for new or enhancement projects for internal clients. Develops code and test artifacts that reuse subroutines or objects, is well structured, backed by automated tests, includes sufficient comments and is easy to maintain. Writes programs, appropriate test artifacts, ad hoc queries, and reports. Employs contemporary software development techniques to ensure tests are implemented in a way that supports automation.",Duties and Responsibilities:,,,,
5172,271,"Writes the system/technical portion of assigned deliverables, including the Version Description Document. Assists technical team members with the system/technical portion of their deliverables (e.g., Systems Testers, test plans). On small teams, the Developer may write these items.",Duties and Responsibilities:,,,,
5183,271,"Ability to write scripts (Python, Perl, PHP and/or Ruby)",What it Takes:,,,,
5206,272,Excellent written and verbal communications,,,,,
5226,273,Explain project specifications in a clear and concise manner,,,,,
5283,276,"Ability to write reports, business correspondence, and procedure manuals",Essential Skills:,,,,
5286,276,"Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form",Essential Skills:,,,,
5319,277,"Good at writing test documentation including test plans, procedures, and reports.",MUST HAVE:,,,,
5382,283,Experience writing technical documentation,,,,,
5408,287,Demonstrates strong written and verbal communication,Exercises sound time management and organizational skills,,,,
5420,287,Writing design narratives & engineering analysis,"Capable of evaluation, selection and application of standard engineering techniques and procedures",,,,
5517,292,Excellent written and verbal communication skills.,Â·,,,,
5549,294,"Determine requirements, then write, review and execute changes safely",Change Management,,,,
5559,294,Excellent verbal and written communication skills,"Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",,,,
5582,298,"Needs to have the ability to troubleshoot a FactoryTalk View Site Edition network distributed application, a multi layered DLR network, and PLC code written in Studio 5000 V32.",Primary Job Functions,,,,
5589,298,Writes computer software and programs as necessary.,Secondary Job Functions,,,,
5615,298,Clear and concise verbal and written communication.,Key Competencies,,,,
5625,298,Fluent in verbal and written English.,Requirements,,,,
5679,300,Telecommunication (be prepared to explain what was cover in courses),The Entry Level Consulting Software Engineer should have the following skills or studied the following:,,,,
5687,301,"Experience implementing DMA schemes. Experience with PWM controlled devices, including audio tone generation, interrupts with multiple priorities, microcontrollers, microprocessors. Specifically Microchip PIC32 and dsPIC33, as well as IMX and ATMEL processors",Extensive experience in design and development of embedded software,,,,
5730,304,"Development of advanced test systems, test methods, data collection, and analysis systems. Including writing scripts and simple computer programs using networked computers interfaced to tape drives and library systems.",Essential Functions:,,,,
5839,310,Excellent interpersonal skills including written and verbal communication,The ideal candidate will have the following skills in addition to the qualifications listed below:,,,,
5914,314,"Effective customer and organizational level communication, written, presentation and interpersonal skills. Knowledge of Microsoft Office suite programs, MS Word, Excel and PowerPoint. Familiarity with MATLAB, Visualyse and ArcGIS preferred.",Qualifications,,,,
5942,315,Strong written and verbal communication skills required when interfacing with clients and staff,Required Education & Experience:,,,,
6003,319,Write scripts to automate time consuming manual configuration tasks.,Key Responsibilities,,,,
6011,319,"Excellent verbal and written communication skills. Committed, hard-working, and thoughtful.",Qualifications,,,,
6055,323,"Engineer software and integrate software and systems testing to include development of software tools, write test plans, perform software verification and validation test, develop and run test vectors, and model based code development",Job Functions,,,,
6065,323,Ability to interact with employees/managers at all levels with strong oral and written communication skills,Weâ€™re excited to talk to you if your qualifications meet the following criteria:,,,,
6089,324,"Experience with agile development principles, continuous integration, and writing automated unit tests.",Requirements,,,,
6313,334,Excellent written and verbal communication skills.,,,,,
6387,337,Writing code that builds new companies and products,The Full-Stack Software Engineer will wear many hats. Some key challenges will include:,,,,
6389,337,"Proven ability in writing clean, scalable code with significant experience in one or more programming languages","For an entry level position, he/she will likely have many of the following characteristics:",,,,
6434,338,Must demonstrate excellent written and verbal presentation skills.,SPECIAL REQUIREMENTS:,,,,
6454,340,"Candidates shall possess proactive desire to drive best practices for implementing, administering and evolving effective information security and privacy program based initiatives at the Enterprise-level and able to integrate quickly into current efforts, produce high-quality written documentation within established timelines, and apply critical analytic thinking across the diverse field of cloud security and privacy.",Required Skills:,,,,
6485,340,Writing IAM policies,"IAM (Identity and Access Management) concepts and technologies to secure production and corporate access, such as: SSO, SAML",,,,
6497,340,Strong oral and written communication skills,Required Skills:,,,,
6630,344,"Your ability to work on a cross-functional team and collaborate is key. You must possess solid verbal, written, presentation and interpersonal communication skills.",Job Requirements,,,,
6635,346,"Write, modify, and debug PLCs, HMIs and motion control programs",,,,,
6687,347,Strong verbal and written communication skills,Requirements:,,,,
6774,350,Email,Communication method(s) used:,,,,
6846,352,Provide written technical and non-technical reports for program compliance and ownership review,Primary Responsibilities for the position will include:,,,,
6861,352,Excellent communicator and presenter able to explain complex concepts to a variety of stakeholders,Personal qualities,,,,
6863,352,Strong oral and written communication skills,Personal qualities,,,,
6871,353,"Write and implement machine code, integrate subsystems, and assist in all on-site",Responsibilities:,,,,
6886,353,Oral and Written Communications. Advanced knowledge of preparing and delivering presentations; excellent written capabilities.,Principles.,,,,
6951,357,"Ability to write reports, business correspondence, and procedure manuals",Essential Skills:,,,,
6954,357,"Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form",Essential Skills:,,,,
6969,359,Communication skills both written and verbal are required.,Qualifications:,,,,
6988,360,"Excellent verbal, written, and presentation communication skills",We Value:,,,,
6991,361,"End User Support:Provides 24*7 global support of critical systems in a rotating on-call environmentPrimary focus on system support, working trouble tickets and escalating to teammates according to priority and required expertise queue, completing resolution within SLA.Assists as an escalation point in incident resolution leveraging pre-defined work instructions for issue remediationLeads investigation of root cause analysis for incidentsFulfill service requests for team and/or write scripts for automating said service requests in support of requirementEngage with vendors where needed on low level incidents within the area",Production Support,,,,
6996,361,Fulfill service requests for team and/or write scripts for automating said service requests in support of requirement,End User Support:,,,,
7021,361,"Begins to develop skills in negotiating within team, across IT, with business, with 3rd party vendors or systems",Leadership,,,,
7030,361,"Hardware, Software, OS Support and Sustainment:Tier 1 and Tier 2 management and monitoring all installed systems and infrastructure pertinent to specified role (e.g. Physical Server, Virtual Servers, Storage, Firmware, Pre-Engineered Systems, OS, Monitoring/App Performance Software, Desktop Hardware/OS, general end user infrastructure front line support)Wherever possible, write and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasks",System Engineer Specific Competencies for Role,,,,
7032,361,"Wherever possible, write and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasks","Hardware, Software, OS Support and Sustainment:",,,,
7108,365,"Strong verbal and written communication skills (including analysis, interpretation, & reasoning).",QUALIFICATIONS / REQUIREMENTS,,,,
7128,366,"Write clean, simple, well-tested code that is easy to understand and maintain.",Some features to this job are:,,,,
7129,366,Review code written by other developers both in and outside of your team.,Some features to this job are:,,,,
7163,367,Assumes responsibility for producing and explaining work product to assigned clients and represents JE Dunn in professional manner.,"In addition, this position will be responsible for the following:",,,,
7181,367,"Communication skills, verbal and written (Intermediate).","Knowledge, Skills & Abilities",,,,
7466,377,"Written Communication: edits work for spelling and grammar, presents numerical data effectively and is able to read and interpret written information.","In addition to the technical functions above, the following behavioral functions are a key element of the role:",,,,
